Date,City,Value
2012-12-01,Trincomalee,18
2012-01-01,Kurunegala,159
2012-02-01,Kurunegala,148
2012-03-01,Kurunegala,114
2012-04-01,Kurunegala,100
2012-05-01,Kurunegala,140
2012-06-01,Kurunegala,342
2012-07-01,Kurunegala,406
2012-08-01,Kurunegala,401
2012-09-01,Kurunegala,320
2012-10-01,Kurunegala,311
2012-11-01,Kurunegala,497
2012-12-01,Kurunegala,599
2012-01-01,Puttalama,131
2012-02-01,Puttalama,101
2012-03-01,Puttalama,69
2012-04-01,Puttalama,55
2012-05-01,Puttalama,98
2012-06-01,Puttalama,178
2012-07-01,Puttalama,98
2012-08-01,Puttalama,142
2012-09-01,Puttalama,253
2012-10-01,Puttalama,159
2012-11-01,Puttalama,251
2012-12-01,Puttalama,265
2012-01-01,Anuradapura,38
2012-02-01,Anuradapura,37
2012-03-01,Anuradapura,36
2012-04-01,Anuradapura,26
2012-05-01,Anuradapura,29
2012-06-01,Anuradapura,56
2012-07-01,Anuradapura,31
2012-08-01,Anuradapura,34
2012-09-01,Anuradapura,26
2012-10-01,Anuradapura,27
2012-11-01,Anuradapura,34
2012-12-01,Anuradapura,119
2012-01-01,Polonnaruwa,25
2012-02-01,Polonnaruwa,27
2012-03-01,Polonnaruwa,21
2012-04-01,Polonnaruwa,11
2012-05-01,Polonnaruwa,17
2012-06-01,Polonnaruwa,37
2012-07-01,Polonnaruwa,22
2012-08-01,Polonnaruwa,38
2012-09-01,Polonnaruwa,12
2012-10-01,Polonnaruwa,21
2012-11-01,Polonnaruwa,15
2012-12-01,Polonnaruwa,43
2012-01-01,Badulla,40
2012-02-01,Badulla,22
2012-03-01,Badulla,13
2012-04-01,Badulla,11
2012-05-01,Badulla,20
2012-06-01,Badulla,57
2012-07-01,Badulla,48
2012-08-01,Badulla,40
2012-09-01,Badulla,35
2012-10-01,Badulla,41
2012-11-01,Badulla,49
2012-12-01,Badulla,54
2012-01-01,Monaragala,16
2012-02-01,Monaragala,23
2012-03-01,Monaragala,23
2012-04-01,Monaragala,15
2012-05-01,Monaragala,22
2012-06-01,Monaragala,38
2012-07-01,Monaragala,33
2012-08-01,Monaragala,36
2012-09-01,Monaragala,16
2012-10-01,Monaragala,17
2012-11-01,Monaragala,29
2012-12-01,Monaragala,19
2012-01-01,Rathnapura,126
2012-02-01,Rathnapura,153
2012-03-01,Rathnapura,160
2012-04-01,Rathnapura,183
2012-05-01,Rathnapura,257
2012-06-01,Rathnapura,874
2012-07-01,Rathnapura,621
2012-08-01,Rathnapura,648
2012-09-01,Rathnapura,310
2012-10-01,Rathnapura,194
2012-11-01,Rathnapura,262
2012-12-01,Rathnapura,150
2012-01-01,Kegalla,173
2012-02-01,Kegalla,144
2012-03-01,Kegalla,121
2012-04-01,Kegalla,146
2012-05-01,Kegalla,213
2012-06-01,Kegalla,557
2012-07-01,Kegalla,385
2012-08-01,Kegalla,331
2012-09-01,Kegalla,174
2012-10-01,Kegalla,148
2012-11-01,Kegalla,156
2012-12-01,Kegalla,157
2012-01-01,Kalminai,41
2012-02-01,Kalminai,43
2012-03-01,Kalminai,25
2012-04-01,Kalminai,8
2012-05-01,Kalminai,10
2012-06-01,Kalminai,23
2012-07-01,Kalminai,9
2012-08-01,Kalminai,11
2012-09-01,Kalminai,3
2012-10-01,Kalminai,22
2012-11-01,Kalminai,69
2012-12-01,Kalminai,138
2013-01-01,Colombo,757
2013-02-01,Colombo,845
2013-03-01,Colombo,791
2013-04-01,Colombo,610
2013-05-01,Colombo,748
